Method,ACC,Balanced_ACC,SEN,SPE,PPV,NPV,Precision,F1,AUC,TN,FP,FN,TP,Model,N_Subjects,N_Features_Total,N_Features_Selected,Scaler,FeatureSelection
fixed,0.6,0.5982142857142857,0.625,0.5714285714285714,0.625,0.5714285714285714,0.625,0.625,0.6607142857142858,4,3,3,5,SVM_RBF,15,592,20,standard,kbest_f
fixed,0.6,0.5982142857142857,0.625,0.5714285714285714,0.625,0.5714285714285714,0.625,0.625,0.6607142857142858,4,3,3,5,SVM_Linear,15,592,20,standard,kbest_f
fixed,0.5333333333333333,0.5267857142857143,0.625,0.42857142857142855,0.5555555555555556,0.5,0.5555555555555556,0.5882352941176471,0.6607142857142856,3,4,3,5,ExtraTrees,15,592,20,standard,kbest_f
fixed,0.6,0.5982142857142857,0.625,0.5714285714285714,0.625,0.5714285714285714,0.625,0.625,0.625,4,3,3,5,Logistic_L2,15,592,20,standard,kbest_f
fixed,0.4666666666666667,0.45535714285714285,0.625,0.2857142857142857,0.5,0.4,0.5,0.5555555555555556,0.5892857142857143,2,5,3,5,RandomForest,15,592,20,standard,kbest_f
fixed,0.4666666666666667,0.4464285714285714,0.75,0.14285714285714285,0.5,0.3333333333333333,0.5,0.6,0.5892857142857143,1,6,2,6,GaussianNB,15,592,20,standard,kbest_f
fixed,0.4666666666666667,0.4642857142857143,0.5,0.42857142857142855,0.5,0.42857142857142855,0.5,0.5,0.5357142857142857,3,4,4,4,Logistic_L1,15,592,20,standard,kbest_f
fixed,0.4,0.39285714285714285,0.5,0.2857142857142857,0.4444444444444444,0.3333333333333333,0.4444444444444444,0.47058823529411764,0.3035714285714286,2,5,4,4,GradientBoosting,15,592,20,standard,kbest_f
fixed,0.8,0.8125,0.625,1.0,1.0,0.7,1.0,0.7692307692307693,0.75,7,0,3,5,SVM_RBF,15,592,30,standard,kbest_f
fixed,0.8,0.8125,0.625,1.0,1.0,0.7,1.0,0.7692307692307693,0.75,7,0,3,5,KNN,15,592,30,standard,kbest_f
fixed,0.8,0.8035714285714286,0.75,0.8571428571428571,0.8571428571428571,0.75,0.8571428571428571,0.8,0.7499999999999999,6,1,2,6,Logistic_L2,15,592,30,standard,kbest_f
fixed,0.8,0.8035714285714286,0.75,0.8571428571428571,0.8571428571428571,0.75,0.8571428571428571,0.8,0.7321428571428572,6,1,2,6,SVM_Linear,15,592,30,standard,kbest_f
fixed,0.5333333333333333,0.5178571428571428,0.75,0.2857142857142857,0.5454545454545454,0.5,0.5454545454545454,0.631578947368421,0.6607142857142858,2,5,2,6,GaussianNB,15,592,30,standard,kbest_f
fixed,0.6666666666666666,0.6696428571428572,0.625,0.7142857142857143,0.7142857142857143,0.625,0.7142857142857143,0.6666666666666666,0.6607142857142856,5,2,3,5,ExtraTrees,15,592,30,standard,kbest_f
fixed,0.5333333333333333,0.5267857142857143,0.625,0.42857142857142855,0.5555555555555556,0.5,0.5555555555555556,0.5882352941176471,0.6071428571428572,3,4,3,5,RandomForest,15,592,30,standard,kbest_f
fixed,0.6666666666666666,0.6785714285714286,0.5,0.8571428571428571,0.8,0.6,0.8,0.6153846153846154,0.5357142857142857,6,1,4,4,Logistic_L1,15,592,30,standard,kbest_f
fixed,0.4,0.39285714285714285,0.5,0.2857142857142857,0.4444444444444444,0.3333333333333333,0.4444444444444444,0.47058823529411764,0.3035714285714286,2,5,4,4,GradientBoosting,15,592,30,standard,kbest_f
